# 广东电信 IP速度测试结果 - 有效IP 11/17
# 测试时间: 2026-01-12 04:21:22
# IP:端口 速度 连接时间(ms)
116.21.204.108:9530 101.9KB/s (ping:196ms)
113.109.248.223:9999 101.9KB/s (ping:196ms)
119.131.25.234:9003 101.5KB/s (ping:207ms)
14.19.203.66:4022 101.0KB/s (ping:201ms)
125.90.252.52:4022 101.0KB/s (ping:206ms)
119.135.192.194:10000 100.9KB/s (ping:207ms)
14.155.233.11:8888 100.2KB/s (ping:198ms)
113.66.40.167:10000 100.1KB/s (ping:200ms)
115.45.243.189:8888 99.0KB/s (ping:221ms)
113.102.83.21:4022 95.6KB/s (ping:205ms)
113.102.35.71:8880 43.4KB/s (ping:198ms)

# 失败统计 (6个):
# 113.101.244.14:10000 - 链接错误
# 183.233.194.219:10000 - HTTP错误
# 116.28.124.183:5000 - 链接错误
# 112.19.88.97:8899 - 不可用
# 113.65.178.79:10000 - 不可用
# 14.112.100.72:4022 - 链接超时
