# 江苏电信 IP速度测试结果 - 有效IP 12/16
# 测试时间: 2026-01-16 01:41:16
# IP:端口 速度 连接时间(ms)
114.238.59.115:4000 79.9KB/s (ping:268ms)
222.95.12.2:4022 79.9KB/s (ping:271ms)
114.231.128.245:4022 79.8KB/s (ping:275ms)
49.77.20.152:8118 79.6KB/s (ping:250ms)
49.85.18.193:8886 77.8KB/s (ping:272ms)
114.231.127.223:8888 76.5KB/s (ping:256ms)
121.226.125.17:7777 75.8KB/s (ping:274ms)
117.90.228.92:6000 75.0KB/s (ping:250ms)
121.230.174.1:8000 74.8KB/s (ping:270ms)
114.228.246.117:8888 74.4KB/s (ping:270ms)
114.222.8.74:8001 74.0KB/s (ping:277ms)
49.71.188.142:4000 23.6KB/s (ping:269ms)

# 失败统计 (4个):
# 49.76.111.153:17000 - 链接错误
# 49.76.111.153:4043 - 链接错误
# 121.233.129.110:9876 - 不可用
# 49.76.130.213:4000 - 链接超时
