# 湖北电信 IP速度测试结果 - 有效IP 12/16
# 测试时间: 2026-01-13 03:59:58
# IP:端口 速度 连接时间(ms)
27.16.209.224:8888 94.7KB/s (ping:208ms)
171.83.103.119:9999 94.3KB/s (ping:228ms)
119.99.250.241:9999 93.3KB/s (ping:227ms)
219.139.62.88:60001 90.8KB/s (ping:211ms)
219.140.5.4:999 89.8KB/s (ping:223ms)
27.17.212.40:8888 88.7KB/s (ping:1235ms)
221.233.30.28:9999 87.9KB/s (ping:233ms)
27.18.31.67:8888 49.8KB/s (ping:207ms)
27.19.183.99:8888 48.7KB/s (ping:218ms)
27.19.66.57:8888 48.1KB/s (ping:236ms)
27.19.4.125:8888 30.3KB/s (ping:225ms)
27.17.155.2:8888 25.7KB/s (ping:228ms)

# 失败统计 (4个):
# 58.54.32.60:4022 - 链接超时
# 27.17.215.163:8888 - 链接超时
# 119.100.145.197:10000 - 链接超时
# 58.48.105.55:10001 - 链接超时
